Site,Partner Site Country,Primary Disease Area,Tissue of origin (free text),Disease/indication (free text),Type,Model Organism,Biological System,Co-culture?,Model and modification details (free text),Cell line name(s) (free text),Plate density,Assay Design (1),Assay Design (2),if 3D: assay type,Assay readout,Assay readout (2),Assay readout (3),Additional assay information (free text),Data Points,Screening Mode,Measurement Type,"Additional Details (timepoint, points DRC) 
(free text)",Publication Details (doi only),Available to the User,Comments regarding the availability
IMG,CZ,,,,Hit follow-up,Zebrafish,In vivo,,Fluorescent reporter zebrafish lines,,96-well,,,,Microscopy,,,other: Multi-Electrode Array,100-1k,Single Point,End-point,,10.1182/bloodadvances.2021005459; 10.1182/bloodadvances.2020001700,Yes,
IMG,CZ,Neurological,,,Hit follow-up,Zebrafish,In vivo,,Locomotor behaviour,,96-well,,,,Microscopy,other,,,100-1k,Single Point,End-point,,10.1021/acschemneuro.3c00131,Yes,
IMG,CZ,,,,Toxicity/Safety models,Zebrafish,In vivo,,Toxicology / Teratology,,96-well,,,,Microscopy,,,,100-1k,Single Point,End-point,,,Yes,
IBCH PAS,PL,Cancer,"Lungs, Liver, Prostate",-,Cell phenotyping,Human,Immortalized cell lines,No,Commercial cell lines,"A549, PC3, HepG2, ",384-well,2D, , ,Microscopy,Fluorescence, ,Cell painting assay - imaging,1-5k,Combination,End-point,-,-,Yes,"The technical execution of cell painting and generation of results, even with the compound library test, is possible ""on the spot"", but the analysis of multiparametric data must be carried out in cooperation with an external specialist"
IBCH PAS,PL,Neurological,Brain,-,Cell phenotyping,Human,Immortalized cell lines,Yes,Commercial cell lines,"SH-SY5Y, HMC3",384-well,2D, , ,Microscopy,Fluorescence, ,Cell painting assay-imaging,1-5k,Combination,End-point,-,-,Yes,"The technical execution of cell painting and generation of results, even with the compound library test, is possible ""on the spot"", but the analysis of multiparametric data must be carried out in cooperation with an external specialist"
IBCH PAS,PL,Neurological,Brain,-,Cell phenotyping,Human,Immortalized cell lines,No,Commercial cell lines,SH-SY5Y,384-well,2D, , ,Microscopy,Fluorescence, ,Cell painting assay-imaging,1-5k,Combination,End-point,-,-,Yes,"The technical execution of cell painting and generation of results, even with the compound library test, is possible ""on the spot"", but the analysis of multiparametric data must be carried out in cooperation with an external specialist"
IBCH PAS,PL,Neurological,Brain,-,Cell phenotyping,Human,Immortalized cell lines,No,Commercial cell lines,HMC3,384-well,2D, , ,Microscopy,Fluorescence, ,Cell painting assay-imaging,1-5k,Combination,End-point,-,-,Yes,"The technical execution of cell painting and generation of results, even with the compound library test, is possible ""on the spot"", but the analysis of multiparametric data must be carried out in cooperation with an external specialist"
,,,,,,,,,,,,,,,,,,,,,,,,,
IBCH PAS,PL,Cancer,Bone tissue,Osteosarcoma,Primary screening,Human,Immortalized cell lines,No,Commercial cell lines,U2-OS,384-well,2D, , ,Microscopy,Fluorescence, ,Autophagy kit ,1-5k,Combination,End-point,-,-,Yes,"The technical execution of cell painting and generation of results, even with the compound library test, is possible ""on the spot"", but the analysis of multiparametric data must be carried out in cooperation with an external specialist"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UH-FIMM,FI,Cancer,Bone,"Osteosarcoma, Ewing sarcoma",Primary screening,Human,Primary cells,No,,,384-well,3D,2D,Spheroid/Scaffold-free,Luminescence,Microscopy,,Cell Titer Glo,,Dose Response,,,10.1007/s12094-026-04261-4,,
